issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,tells,...ich must be shared with candidates that **tells** them about things that they must and mu...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The verb 'tells' correctly agrees with the singular subject 'information'.
1,5,Proforma,...and Declaration Form - Unit 2 Programme **Proforma** - Unit 2 Unassessed Participant Declara...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,'Proforma' is a correctly used term for a standard document or template in this administrative context.
2,6,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'and' when it joins two independent clauses.
3,16,nonassessed,...l set (presented to the examiner in the **nonassessed** viva). The model may be presented in a ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is a hyphenation issue, which the instructions explicitly state should not be reported as an error."
4,23,marksGood,"...                           | | 3 | 8-11 **marksGood**, imaginative ideas are developed well t...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
5,23,marksEffective,...                                | 19-24 **marksEffective** application of design skills which faci...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
6,23,marksEffective,...                                  | 8-9 **marksEffective** and coherent interpretation of extract(...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
7,23,marksEffective,...                                  | 8-9 **marksEffective** individual contribution through set and...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
8,23,marksSome,...                           | |   | 8-11 **marksSome** imaginative ideas are developed to prod...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
9,23,marksSatisfactory,...                                | 13-18 **marksSatisfactory** application of design skills which part...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,A space is missing between 'marks' and the following word due to a PDF-to-text conversion artifact within a table cell.
