issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,5,frac,...ation Tier**  Area of a trapezium =  $$\**frac**{1}{2}(a+b)h$$  ![](_page_4_Picture_2.jp...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The highlighted text is part of a LaTeX mathematical command `\frac`, which was corrupted during PDF to markdown conversion."
1,5,h$$,...rea of a trapezium =  $$\frac{1}{2}(a+b)**h$$**  ![](_page_4_Picture_2.jpeg)  #### **Vo...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The highlighted text `h$$` is the end of a mathematical expression and its LaTeX delimiter, incorrectly flagged as a word due to parsing."
2,5,cross section,"...g. Prism, Cylinder)**  Volume = area of **cross section** length  ![](_page_4_Picture_5.jpeg)  {6...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The compound noun 'cross section' is acceptable as two words, and the sentence uses a telegraphic style common in formula lists."
3,12,y axis,... The vertical scale is misleading — the **y axis** does not start at 0 (and/or uses an inc...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The compound noun 'y-axis' should be hyphenated according to British English conventions.
4,12,although,...d appears more than double the small bar** although** the actual counts are not.  2. The larg...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While a comma before 'although' is sometimes used for clarity, its omission here does not create ambiguity or a grammatical error."
5,23,award,...selected<br>Award B2 for 30 selected or **award** B1 for 24 selected<br>Penalise -1 if th...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The second 'award' is correctly lowercase as it continues a compound instruction within the same sentence.
6,25,but,... double the width for the medium shampoo** but** the heights are the same' 'Not all bars...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma is required before the coordinating conjunction 'but' when it joins two independent clauses.
7,25,mlPer,...   |          | 1 ml10 ml50 ml100ml2000 **mlPer** £1S1.6p16p80p£1.60£3262.5 mlM1.4p14p70p...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The text 'mlPer' is a parsing error where a space is missing between 'ml' and 'Per' in a table cell.
8,25,imes,...|  |  |  | | (Number of welsh cakes $3 	**imes** 2 	imes 5=$ ) 30                       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The text 'imes' is a parsing error, likely a corrupted LaTeX `\times` command for multiplication."
9,25,imes,... | | (Number of welsh cakes $3 	imes 2 	**imes** 5=$ ) 30                               ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The text 'imes' is a parsing error, likely a corrupted LaTeX `\times` command for multiplication."
10,26,',"...e frame e.g. per day, per week etc',<br>**'**Groups are not continuous e.g. no group ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The single quote is correctly used to enclose an example statement in a list.
11,26,',...                           |  |  |  | | **'**No group if you exercise for more than 7...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The single quote is correctly used to enclose an example statement in a list.
12,26,',"... than 2.5 hours of<br>exercise each week**'**, or<br>'Most GCSE PE pupils are likely ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The single quote is correctly used to close an example statement in a list.
13,27,frac,...| | 11.<br>(Volume of flowerbed =)<br>$\**frac**{1}{2} \times (380 + 165) \times 213$   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,'frac' is part of a correctly formatted LaTeX mathematical expression and not a linguistic error.
