issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,7,one minute,... piece which is significantly below the **one minute** minimum performance duration will be un...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The tool is flagging a hyphenation issue for a compound adjective, which the instructions explicitly state not to report as an error."
1,9,and,...tifying individual levels of achievement** and** they do not correlate with grade bounda...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,The omission of a comma before the coordinating conjunction does not hinder clarity and is a stylistic choice.
2,10,Technologybased,...nology-based performance for this unit. **Technologybased** performances include:  - DJ-ing - 'push...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"This is a merged word resulting from a PDF conversion error, which should be hyphenated as 'Technology-based' as used elsewhere in the document."
3,11,beat-box,"...nd chords on a lead sheet (for example, **beat-box**, DJ, or rap), centres must provide appr...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"The standard British English spelling for the term is 'beatbox' (one word), not hyphenated."
4,17,pieceLimited,...er performers is limited throughout the **pieceLimited** balance between live and pre-recorded t...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a merged word resulting from a PDF conversion error, incorrectly joining two separate sentences."
5,17,pieceVery,...rt with other performers throughout the **pieceVery** little balance between live and pre-rec...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a merged word resulting from a PDF conversion error, incorrectly joining two separate sentences."
6,21,pieceControl,"...ds of the music. throughout most of the **pieceControl** of timbre, tone, and tone colours is mo...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is a merged word resulting from a PDF conversion error, incorrectly joining two separate sentences."
7,25,instrumentsimple,...rade 3 | a piece in an easy key for the **instrumentsimple** variation of rhythms and a narrow pitch...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"This is a merged word resulting from a PDF conversion error, incorrectly joining two descriptive phrases that require a comma."
8,25,intervalsfew,...hms and a narrow pitch range with basic **intervalsfew** dynamic gradationssimple or repetitive ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"This is a merged word resulting from a PDF conversion error, incorrectly joining two descriptive phrases that require a comma."
9,25,gradationssimple,...h range with basic intervalsfew dynamic **gradationssimple** or repetitive structuresteady temposing...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"This is a merged word resulting from a PDF conversion error, incorrectly joining two descriptive phrases that require a comma."
10,25,structuresteady,... dynamic gradationssimple or repetitive **structuresteady** temposingle timbre or tone quality requ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'structure' and 'steady' are merged due to a PDF conversion artifact and should be separated.
