issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,9,techniquesfollow,"...ical facts, relationships, concepts and **techniquesfollow** direct instructions to solve problems i...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'techniques' and 'follow' have been merged due to PDF-to-text conversion.
1,9,fluentlyselect,...and resources needed to solve a problem **fluentlyselect** and apply mathematical methods to solve...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'fluently' and 'select' have been merged due to PDF-to-text conversion.
2,9,multi-step,"...s to solve nonstandard or unstructured, **multi-step** problems fluentlymake decisions when ta...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Multi-step' is a correctly hyphenated compound adjective.
3,9,fluentlymake,"...rd or unstructured, multi-step problems **fluentlymake** decisions when tackling a given task, f...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'fluently' and 'make' have been merged due to PDF-to-text conversion.
4,9,informationcommunicate,"... example, choosing how to display given **informationcommunicate** mathematically, using a wide range of m...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'information' and 'communicate' have been merged due to PDF-to-text conversion.
5,9,themdevise,...lems and generating strategies to solve **themdevise** strategies to solve non-routine or unfa...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'them' and 'devise' have been merged due to PDF-to-text conversion.
6,9,necessaryconstruct,"...to smaller, more manageable tasks where **necessaryconstruct** arguments and proofs using logical reas...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'necessary' and 'construct' have been merged due to PDF-to-text conversion.
7,9,deductioninterpret,... and proofs using logical reasoning and **deductioninterpret** findings or solutions in the context of...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'deduction' and 'interpret' have been merged due to PDF-to-text conversion.
8,9,problemuse,...olutions in the context of the original **problemuse** inferences and deductions made from mat...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'problem' and 'use' have been merged due to PDF-to-text conversion.
9,10,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"A comma before 'and' is a stylistic choice when joining two independent clauses, and its omission here does not hinder clarity."
10,14,frac,...or example: $9^{\frac{1}{2}} = 3$ $64^{\**frac**{2}{3}} = 16$ $81^{-\frac{1}{2}} = \frac...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{2}{3}` and is not an error.
11,14,frac,...2}} = 3$ $64^{\frac{2}{3}} = 16$ $81^{-\**frac**{1}{2}} = \frac{1}{9}$ $\left(\frac{25}{...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{1}{2}` and is not an error.
12,14,frac,...frac{2}{3}} = 16$ $81^{-\frac{1}{2}} = \**frac**{1}{9}$ $\left(\frac{25}{16}\right)^{-\f...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{1}{9}` and is not an error.
13,14,frac,...1^{-\frac{1}{2}} = \frac{1}{9}$ $\left(\**frac**{25}{16}\right)^{-\frac{3}{2}} = \frac{6...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{25}{16}` and is not an error.
14,14,frac,...c{1}{9}$ $\left(\frac{25}{16}\right)^{-\**frac**{3}{2}} = \frac{64}{125}$ |  | ✓ |  |  {...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{3}{2}` and is not an error.
15,14,frac,...(\frac{25}{16}\right)^{-\frac{3}{2}} = \**frac**{64}{125}$ |  | ✓ |  |  {15}------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{64}{125}` and is not an error.
16,15,frac,...^5)^4$ as a single power.  • Evaluate $\**frac**{6^{31} \times 6^5}{6^{34}}$ . |  | ✓ | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{6^{31} \times 6^5}{6^{34}}` and is not an error.
17,15,tions,"... ✓  | ✓        |  |  |  | | 1.4 Frac  | **tions**, decimals, percentages and             ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'Fractions' has been incorrectly split across two table cells during markdown conversion.
18,16,frac,"...tions and percentages | When ordering $\**frac**{8}{25}$ , 0.3 and 29.5%, if deciding to...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{8}{25}` and is not an error.
19,16,frac,"...f deciding to convert to percentages, $\**frac**{32}{100}$ and $\frac{30}{100}$ are not ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{32}{100}` and is not an error.
20,12,frac,...example:<br>$9^{\frac{1}{2}} = 3$ $64^{\**frac**{2}{3}} = 16$ $81^{-\frac{1}{2}} = \frac...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
21,12,frac,...2}} = 3$ $64^{\frac{2}{3}} = 16$ $81^{-\**frac**{1}{2}} = \frac{1}{9}$ $\left(\frac{25}{...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
22,12,frac,...frac{2}{3}} = 16$ $81^{-\frac{1}{2}} = \**frac**{1}{9}$ $\left(\frac{25}{16}\right)^{-\f...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
23,12,frac,...1^{-\frac{1}{2}} = \frac{1}{9}$ $\left(\**frac**{25}{16}\right)^{-\frac{3}{2}} = \frac{6...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
24,12,frac,...c{1}{9}$ $\left(\frac{25}{16}\right)^{-\**frac**{3}{2}} = \frac{64}{125}$               ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
25,12,frac,...(\frac{25}{16}\right)^{-\frac{3}{2}} = \**frac**{64}{125}$                              ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'frac' is part of a LaTeX math command (\frac) and not a linguistic error.
26,12,imes,...     | For example:<br>• Evaluate $3^2 	**imes** 10^3$ .<br>• Write $3^2 	imes 3^3$ or $...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'imes' is part of a LaTeX math command (\times) for multiplication and not a linguistic error.
27,12,imes,...ate $3^2 	imes 10^3$ .<br>• Write $3^2 	**imes** 3^3$ or $5^5 	imes 5^2$ or $(3^5)^4$ as...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'imes' is part of a LaTeX math command (\times) for multiplication and not a linguistic error.
28,12,imes,...$ .<br>• Write $3^2 	imes 3^3$ or $5^5 	**imes** 5^2$ or $(3^5)^4$ as a single power.<br...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The flagged 'imes' is part of a LaTeX math command (\times) for multiplication and not a linguistic error.
29,12,rac,...)^4$ as a single power.<br>• Evaluate $**rac**{6^{31} 	imes 6^5}{6^{34}}$ .           ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The flagged 'rac' is part of a LaTeX math command (\frac) and not a linguistic error, with an additional OCR artifact (form feed character)."
30,12,imes,...ngle power.<br>• Evaluate $rac{6^{31} 	**imes** 6^5}{6^{34}}$ .                        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\times` has been incorrectly rendered as `	imes`.
31,12,rac,... indices | For example:<br>• Evaluate $**rac**{32^{1/5} 	imes 64^{1/2}}{2^{-7}}$ .<br>...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\frac` has been incorrectly rendered as `rac`.
32,12,imes,... example:<br>• Evaluate $rac{32^{1/5} 	**imes** 64^{1/2}}{2^{-7}}$ .<br>• Evaluate $(9^...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\times` has been incorrectly rendered as `	imes`.
33,12,imes,.../2}}{2^{-7}}$ .<br>• Evaluate $(9^4)^2 	**imes** 27^{-8}$ . Give your answer in the form...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\times` has been incorrectly rendered as `	imes`.
34,12,n$,"...{-8}$ . Give your answer in the form $3^**n$** , where $n$ is to be found.            ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The tool incorrectly flagged `$n$` as an error, which is part of a mathematical expression `$3^n$` and a LaTeX delimiter."
35,12,$n$,"...e your answer in the form $3^n$ , where **$n$** is to be found.                        ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The tool incorrectly flagged `$n$` as an error, which is a mathematical variable correctly formatted with LaTeX delimiters."
36,12,imes,...s. For example:<br>Write the number $3 	**imes** 10^5$ as an ordinary number.           ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\times` has been incorrectly rendered as `	imes`.
37,12,rac,"...                      | When ordering $**rac**{8}{25}$ , 0.3 and 29.5%, if deciding to...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\frac` has been incorrectly rendered as `rac`.
38,12,rac,"...f deciding to convert to percentages, $**rac**{32}{100}$ and $rac{30}{100}$ are not e...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\frac` has been incorrectly rendered as `rac`.
39,12,rac,"...t to percentages, $rac{32}{100}$ and $**rac**{30}{100}$ are not enough. 32% and 30% n...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR/parsing error where the LaTeX command `\frac` has been incorrectly rendered as `rac`.
40,16,frac,... 100$ Non-calculator: $\frac{34}{40} = \**frac**{170}{200} = \frac{85}{100} = 85\%$ or $...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`frac` is a LaTeX command for fractions and is correctly used within mathematical expressions, not a word."
41,16,frac,...or: $\frac{34}{40} = \frac{170}{200} = \**frac**{85}{100} = 85\%$ or $\frac{34}{40} \tim...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`frac` is a LaTeX command for fractions and is correctly used within mathematical expressions, not a word."
42,16,frac,...170}{200} = \frac{85}{100} = 85\%$ or $\**frac**{34}{40} \times 100\% = \frac{340}{4} = ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`frac` is a LaTeX command for fractions and is correctly used within mathematical expressions, not a word."
43,16,frac,...85\%$ or $\frac{34}{40} \times 100\% = \**frac**{340}{4} = 85\%$                        ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`frac` is a LaTeX command for fractions and is correctly used within mathematical expressions, not a word."
44,18,',... and inverse proportion | the same rate.**'** |  Water flowing through 8 identical p...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The text `the same rate.'` is a fragment resulting from a parsing error where a sentence was split across table cells.
45,18,',"... in this question, we could have added, **'**You can assume that all pipes deliver wa...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The quoted text is incomplete, indicating a parsing error where the sentence was truncated or split across table cells."
46,27,nt,...| than Option A? Answer to (b): £484. | **nt** of each montheeded  Iy interest rate a ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word fragment 'nt' is a result of a severe parsing error, likely intended to be part of 'amount'."
47,27,montheeded,...on A? Answer to (b): £484. | nt of each **montheeded**  Iy interest rate a r of months take on...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The merged word 'montheeded' is a result of a severe parsing error, likely intended to be 'month needed'."
48,27,Iy,... to (b): £484. | nt of each montheeded  **Iy** interest rate a r of months take onthly...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word fragment 'Iy' is a result of a severe parsing error, likely intended to be part of 'interest'."
49,27,a,...nt of each montheeded  Iy interest rate **a** r of months take onthly repayment would...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The isolated 'a' is part of a severely garbled phrase, indicating a parsing error."
50,27,onthly,...ed  Iy interest rate a r of months take **onthly** repayment would be save  12. | nly repa...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'onthly' is a parsing error and should be 'monthly'.
51,27,save,...f months take onthly repayment would be **save**  12. | nly repayment s a decimal en to ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,"The word 'save' appears to be a parsing error within a garbled sentence, likely intended to be 'saved' or part of a different phrase."
52,27,nly,...e onthly repayment would be save  12. | **nly** repayment s a decimal en to pay back nt...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'nly' is a parsing error and should be 'only'.
53,27,nt,...ly repayment s a decimal en to pay back **nt** for Option B ed on paying b | the loan....,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'nt' is a parsing error within a garbled sentence, likely part of a longer word like 'amount'."
54,29,fraction,"...mple, as the only way to simply this √2 **fraction** is to multiply the numerator and denomi...",PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,75,"The phrase '√2 fraction' is not standard mathematical terminology and could be rephrased for clarity, such as 'a fraction involving √2'."
55,29,a,"...ve your answer in the form π : a, where **a** is an integer. Note: it is possible tha...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The letter 'a' is correctly used as a mathematical variable in this context.
56,31,Strano,...-----|----------|----------|--|--|--| | **Strano**  | i                                   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Strano' is a parsing error and should be 'Strand'.
57,31,Alç,... | U2       | U3       |  |  |  | | 2.1 **Alç** | gebraic conventions and manipulation ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Alç' is a parsing error and should be 'Algebraic'.
58,31,gebraic,...      | U3       |  |  |  | | 2.1 Alç | **gebraic** conventions and manipulation of        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The word 'gebraic' is a parsing error, forming part of the corrupted word 'Algebraic' with the preceding 'Alç'."
59,31,$ab$,...                      | For example:  • **$ab$** in place of $a \times b$ • $3a$ in plac...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The mathematical notation '$ab$' is correctly used to represent 'a multiplied by b'.
60,12,rac,...{40} 	imes 100$<br>Non-calculator:<br>$**rac**{34}{40} = rac{170}{200} = rac{85}{100...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\frac' used for fractions in mathematical expressions.
61,12,rac,...<br>Non-calculator:<br>$rac{34}{40} = **rac**{170}{200} = rac{85}{100} = 85%$ or $r...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\frac' used for fractions in mathematical expressions.
62,12,rac,...r:<br>$rac{34}{40} = rac{170}{200} = **rac**{85}{100} = 85%$ or $rac{34}{40} 	imes ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\frac' used for fractions in mathematical expressions.
63,12,rac,...c{170}{200} = rac{85}{100} = 85%$ or $**rac**{34}{40} 	imes 100% = rac{340}{4} = 85%...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\frac' used for fractions in mathematical expressions.
64,12,imes,... rac{85}{100} = 85%$ or $rac{34}{40} 	**imes** 100% = rac{340}{4} = 85%$             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\times' used for multiplication in mathematical expressions.
65,12,rac,...} = 85%$ or $rac{34}{40} 	imes 100% = **rac**{340}{4} = 85%$                         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\frac' used for fractions in mathematical expressions.
66,18,imes$,....<br>Calculation: $(198 - 120) / 120$ $	**imes$** 100 = 65%.  | $$ |     | $$ | | 1.4.9...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,This is an OCR artifact of the LaTeX command '\times' and a LaTeX math environment delimiter '$'.
67,19,',...verse<br>proportion     | the same rate.**'**  | <br>Water flowing through 8 identic...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is a correctly used closing single quotation mark, represented by an HTML entity."
68,19,',"... in this question, we could have added, **'**You can assume that all pipes deliver wa...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is a correctly used opening single quotation mark, represented by an HTML entity."
69,20,wingdings,"...            | <span style=""font-family: **wingdings**;"">✓</span> |    |                      ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"This is a valid font family name used for formatting, not a linguistic error."
