issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,4,amendedreplaced,...------|-------------| | 2       | 3.2.5 **amendedreplaced** Bleddyn Lake to Alex Griffithsadded 'y'...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'amended' and 'replaced' are merged due to a PDF parsing error, requiring a space or punctuation between them."
1,4,Griffithsadded,....5 amendedreplaced Bleddyn Lake to Alex **Griffithsadded** 'y' to Zoe (Allen) | 26          |  {5}...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'Griffiths' and 'added' are merged due to a PDF parsing error, requiring a space or punctuation between them."
2,8,Studie,...ject specific considerations for Social **Studie**[s](#page-7-2)<sup>2</sup> by:   - devel...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The word 'Studies' is split by a footnote artifact, indicating a PDF parsing error."
3,11,communitycultureinterculturalintraculturalnormssocial,...                                      | **communitycultureinterculturalintraculturalnormssocial** cohesionsocial controlsocial exclusions...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Multiple terms are concatenated without spaces or punctuation, which is a common PDF parsing error in lists."
4,11,cohesionsocial,...reinterculturalintraculturalnormssocial **cohesionsocial** controlsocial exclusionsocietysubcultur...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The terms 'cohesion' and 'social' are merged due to a PDF parsing error in a list of terms.
5,11,controlsocial,...intraculturalnormssocial cohesionsocial **controlsocial** exclusionsocietysubculturevalues.      ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The terms 'control' and 'social' are merged due to a PDF parsing error in a list of terms.
6,11,exclusionsocietysubculturevalues,...ormssocial cohesionsocial controlsocial **exclusionsocietysubculturevalues**.                                       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Multiple terms are concatenated without spaces or punctuation, which is a common PDF parsing error in lists."
7,11,individualistichomogenous,...                      | collectivist vs **individualistichomogenous** vs heterogenous/pluralisticopen vs clos...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The terms 'individualistic' and 'homogenous' are merged due to a PDF parsing error in a list of variations.
8,11,pluralisticopen,...dividualistichomogenous vs heterogenous/**pluralisticopen** vs closed.                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The terms 'pluralistic' and 'open' are merged due to a PDF parsing error in a list of variations.
9,11,economiesmarket,...                              | command **economiesmarket** economiesmixed economiestraditional eco...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The terms 'economies' and 'market' are merged due to a PDF parsing error in a list of economic variations.
10,11,economiesmixed,...              | command economiesmarket **economiesmixed** economiestraditional economies.        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'economies' and 'mixed' are merged due to a PDF conversion error and should be separated.
11,11,economiestraditional,... command economiesmarket economiesmixed **economiestraditional** economies.                             ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'economies' and 'traditional' are merged due to a PDF conversion error and should be separated.
12,11,democraciesmonarchiesauthoritarian,...                                      | **democraciesmonarchiesauthoritarian**/totalitariantribal/traditional.        ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'democracies', 'monarchies', and 'authoritarian' are merged due to a PDF conversion error and should be separated."
13,11,totalitariantribal,...   | democraciesmonarchiesauthoritarian/**totalitariantribal**/traditional.                           ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'totalitarian' and 'tribal' are merged due to a PDF conversion error and should be separated.
14,11,societyidentify,...om quantitative and qualitative data on **societyidentify** patterns and trends in data on societyi...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'society' and 'identify' are merged due to a PDF conversion error and should be separated.
15,11,societyidentify,...identify patterns and trends in data on **societyidentify** weaknesses in the presentation of data ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'society' and 'identify' are merged due to a PDF conversion error and should be separated.
16,11,societyinterpret,...aknesses in the presentation of data on **societyinterpret** and extract information on a range of d...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'society' and 'interpret' are merged due to a PDF conversion error and should be separated.
17,14,authoritiesSenedd,...lowing institutions:<br>unitary (local) **authoritiesSenedd** CymruUK ParliamentNorth Atlantic Treaty...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'authorities' and 'Senedd' are merged due to a PDF conversion error and should be separated.
18,14,CymruUK,...s:<br>unitary (local) authoritiesSenedd **CymruUK** ParliamentNorth Atlantic Treaty Organis...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'Cymru' and 'UK' are merged due to a PDF conversion error and should be separated.
19,14,ParliamentNorth,...itary (local) authoritiesSenedd CymruUK **ParliamentNorth** Atlantic Treaty Organisation (NATO)Unit...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'Parliament' and 'North' are merged due to a PDF conversion error and should be separated.
20,14,institutionshow,...nderstand:the connections between these **institutionshow** each of these institutions impact on th...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'institutions' and 'how' have been merged due to a PDF parsing error, requiring a space between them."
21,14,referendapolitical,"...ons (local, Senedd Cymru, UK Parliament)**referendapolitical** partiespressure groupsunions.          ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'referenda' and 'political' are merged, indicating a PDF parsing error where a space is missing in a list of items."
22,14,partiespressure,"...Cymru, UK Parliament)referendapolitical **partiespressure** groupsunions.                          ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'parties' and 'pressure' are merged, indicating a PDF parsing error where a space is missing in a list of items."
23,14,groupsunions,...ment)referendapolitical partiespressure **groupsunions**.                                       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'groups' and 'unions' are merged, indicating a PDF parsing error where a space is missing in a list of items."
24,14,Walesacts,...e part of being an individual living in **Walesacts** and agreements relating to human rights...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'Wales' and 'acts' are merged, indicating a PDF parsing error where a space is missing."
25,14,livesright,... not to harm or endanger other people's **livesright** to be protected from discrimination; re...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'lives' and 'right' are merged, indicating a PDF parsing error where a space is missing in a list of rights."
26,14,otherright,...ility: not to discriminate against each **otherright** to freedom of expression; responsibilit...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'other' and 'right' are merged, indicating a PDF parsing error where a space is missing in a list of rights."
