issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,of any of,...t replicate or overlap with the content **of any of** the other selected units.**  The qualif...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'of any of the other selected units' is grammatically correct and natural in this context.
1,7,eassessment,"...ment of Unit 2 digitally through WJEC's **eassessment** platform.  # <span id=""page-6-2""></span...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,'e-assessment' should be hyphenated according to standard British English conventions for 'e-' compounds.
2,8,be able demonstrate,...cted historical topic.  Learners should **be able demonstrate** skills of analysis and evaluation when ...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The infinitive marker 'to' is missing, making the phrase 'be able demonstrate' grammatically incorrect; it should be 'be able to demonstrate'."
3,12,guerrilla,...deen military strategies: Soviet use of **guerrilla** warfare counterinsurgency vs. Mujahidee...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'guerrilla' is spelled correctly in this context.
4,12,guerrilla,...h sides.  ### Article(s):  [Articles on **guerrilla**](https://www.govinfo.gov/content/pkg/GO...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'guerrilla' is spelled correctly in this context, despite the link text being split."
5,15,Dar es,"...>1993, and of the<br>US<br>embassies in **Dar es**<br>Salaam and Nairobi in<br>1998<br>•<b...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'Dar es Salaam' is a proper noun, and the tool is incorrectly flagging 'Dar es' due to a line break artifact."
6,19,and,... the World Trade Centre and the Pentagon** and** what did these represent to both the US...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,70,"While a comma could be added before the second 'and' for stylistic clarity, its omission does not constitute an absolute grammatical error in this interrogative sentence."
7,20,al,"...reedom on October 7,<br>2001, targeting **al**-<br>Qaeda and the Taliban<br>in Afghani...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'Al-Qaeda' is a proper noun, and the tool is incorrectly flagging 'al' due to a line break artifact."
8,24,to,...torrent this subjected many communities **to** unjustly. They can consider this when l...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The preposition 'to' is correctly used at the end of the clause, which is grammatically acceptable in modern English."
9,27,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,'Evidence-based' is a compound adjective and requires a hyphen for correct spelling.
10,28,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The compound adjective 'cross-curricular' requires a hyphen in formal British English.
11,31,guerrilla,...         | | Mujahideen        | Afghan **guerrilla** fighters who opposed the Soviet occupat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'guerrilla' is spelled correctly in this context.
12,31,organization,"... | The leader of the Al-Qaeda terrorist **organization**, who was<br>given sanctuary by the Tali...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The spelling 'organization' with a 'z' is an acceptable variant in British English, though 's' is often preferred."
13,26,evidencebased,... and quantify change. Learners can draw **evidencebased** conclusions based on statistics and num...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in 'evidence-based' creates a parsing error.
14,27,crosscurricular,...tunities will allow learners to develop **crosscurricular** skills which underpin the four purposes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,90,Missing hyphen in 'cross-curricular' creates a parsing error.
15,30,guerrilla,...nternal rivals. | | Mujahideen | Afghan **guerrilla** fighters who opposed the Soviet occupat...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,guerrilla is the correct spelling for the term.
16,30,organization,"... | The leader of the Al-Qaeda terrorist **organization**, who was given sanctuary by the Taliban...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,organization is the correct spelling for the term.
