issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,cross section,"...g. Prism, Cylinder)**  Volume = area of **cross section** length  ![](_page_5_Picture_5.jpeg)  {7...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"The compound noun 'cross section' is acceptable as two words, especially in mathematical contexts, though 'cross-section' is also common."
1,14,FĜH,...  |  | | 6. | which:<br>•<br>GH<br>•<br>**FĜH**<br>•<br>FĤG<br>The side GH | Using a ru...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`FĜH` is a standard mathematical notation for an angle, not a spelling error."
2,14,FĤG,...| which:<br>•<br>GH<br>•<br>FĜH<br>•<br>**FĤG**<br>The side GH | Using a ruler and prot...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"`FĤG` is a standard mathematical notation for an angle, not a spelling error."
3,15,frac,...--------|--|-----|----------|-----| | $\**frac**{1}{3}$ of his number is 477. |         ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`\frac` is a LaTeX command used for mathematical typesetting and is not a spelling error.
4,15,$a$,"...                | (i)  | A box contains **$a$** apples. Write down, in terms of $a$ , t...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`$a$` represents a mathematical variable and is correctly formatted within the context.
5,15,$a$,"...ins $a$ apples. Write down, in terms of **$a$** , the number of apples in 8 boxes.     ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`$a$` represents a mathematical variable and is correctly formatted within the context.
6,15,$b$,...                       | (ii) | Yang is **$b$** years old. Catrin is 7 years younger th...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`$b$` represents a mathematical variable and is correctly formatted within the context.
7,15,$b$,"...g. Write down Catrin's age, in terms of **$b$** . |  |     |          | [1] | |        ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`$b$` represents a mathematical variable and is correctly formatted within the context.
8,15,$x,... (b)                     | (i)  | Solve **$x** - 7 = 38$                              ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`$x` is part of a mathematical expression and is correctly formatted within the context.
9,15,frac,...                       | (ii) | Solve $\**frac**{y}{4} = -17$                           ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`\frac` is a LaTeX command used for mathematical typesetting and is not a spelling error.
10,16,million,...pent on green initiatives = £ ………………….. **million**  {17}----------------------------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'million' is correctly used as a unit of currency in the given context.
11,17,your,...displayed numbers?<br>You must show all **your** working to support your answer.        ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The possessive pronoun 'your' is used correctly in the phrase 'show all your working'.
12,18,rac,...-------------------|-----|--| |     | $**rac**{25 - 3.7^2}{\sqrt{21}}$                ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"This is an OCR artifact from a mathematical expression, likely intended to be '\frac' for a fraction."
13,18,tr,...             |     |  | |     | <table><**tr**><td>(a)</td><td>A measuring jug contain...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"<tr> is an HTML tag for a table row, incorrectly identified as a word due to parsing."
14,22,lı,...|----|-----|----|------| | 10 | 1/1/2 | **lı** | cor | rΔ | ヘţ・ノ | | 13 | ivia  | 11 |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'lı' is an OCR artifact, likely a misread character or symbol within a table."
15,22,rΔ,...|----|------| | 10 | 1/1/2 | lı | cor | **rΔ** | ヘţ・ノ | | 13 | ivia  | 11 | COL | 10 |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'rΔ' is an OCR artifact, likely a misread character or symbol within a table."
16,22,ヘţ,...|------| | 10 | 1/1/2 | lı | cor | rΔ | **ヘţ**・ノ | | 13 | ivia  | 11 | COL | 10 | UL! ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'ヘţ' is an OCR artifact, likely a misread character or symbol within a table."
17,22,ivia,...| 1/1/2 | lı | cor | rΔ | ヘţ・ノ | | 13 | **ivia**  | 11 | COL | 10 | UL!  |  | Yes |  | |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"'ivia' is an OCR artifact, likely a misread word or symbol within a table."
