issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,12,operationsaddition,"...tly and effectively, including:order of **operationsaddition**, subtraction, multiplication and divisi...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'operations' and 'addition' should be separated by a comma and space, indicating a parsing error from PDF conversion."
1,12,divisionsquare,"...dition, subtraction, multiplication and **divisionsquare**, cube and other powerssquare root and c...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'division' and 'square' should be separated by a comma and space, indicating a parsing error from PDF conversion."
2,12,powerssquare,"...tion and divisionsquare, cube and other **powerssquare** root and cube rootbracketsother appropr...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'powers' and 'square' should be separated by a comma and space, indicating a parsing error from PDF conversion."
3,12,rootbracketsother,...be and other powerssquare root and cube **rootbracketsother** appropriate functionsstandard form     ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'root', 'brackets', and 'other' should be separated by commas and spaces, indicating a parsing error from PDF conversion."
4,12,functionsstandard,... and cube rootbracketsother appropriate **functionsstandard** form                                   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'functions' and 'standard' should be separated by a comma and space, indicating a parsing error from PDF conversion."
5,12,operationsaddition,"...tly and effectively, including:order of **operationsaddition**, subtraction, multiplication and divisi...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'operations' and 'addition' should be separated by a comma and space, indicating a parsing error from PDF conversion."
6,12,divisionsquare,"...dition, subtraction, multiplication and **divisionsquare**, cube and other powerssquare root and c...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'division' and 'square' should be separated by a comma and space, indicating a parsing error from PDF conversion."
7,12,powerssquare,"...tion and divisionsquare, cube and other **powerssquare** root and cube rootbracketsother appropr...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'powers' and 'square' should be separated by a comma and space, indicating a parsing error from PDF conversion."
8,12,rootbracketsother,...be and other powerssquare root and cube **rootbracketsother** appropriate functionsstandard form     ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'root', 'brackets', and 'other' should be separated by commas and spaces, indicating a parsing error from PDF conversion."
9,12,functionsstandard,... and cube rootbracketsother appropriate **functionsstandard** form                                   ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The words 'functions' and 'standard' should be separated by a comma and space, indicating a parsing error from PDF conversion."
10,12,a,...given unit is in possible error of half **a** unit1.6.3 determine the upper and lower...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The word 'a' is correctly used as an indefinite article; the subsequent issue is a parsing error where 'unit' and '1.6.3' are merged.
11,12,payslipstaxation,"...ample:<br>wages and salaries, including **payslipstaxation**, including income tax and National Insu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'payslips' and 'taxation' have been incorrectly merged during PDF conversion and should be separated by a comma.
12,12,Insurancesavings,"...tion, including income tax and National **Insurancesavings** and investmentsloans/repaymentsmortgage...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'Insurance' and 'savings' have been incorrectly merged during PDF conversion and should be separated by a comma.
13,12,investmentsloans,...e tax and National Insurancesavings and **investmentsloans**/repaymentsmortgagesappreciation/depreci...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'investments' and 'loans' have been incorrectly merged during PDF conversion and should be separated by a comma.
14,12,repaymentsmortgagesappreciation,...l Insurancesavings and investmentsloans/**repaymentsmortgagesappreciation**/depreciationbudgetingbank statementsuti...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple terms ('repayments', 'mortgages', 'appreciation') have been incorrectly merged into a single word during PDF conversion."
15,12,depreciationbudgetingbank,...tsloans/repaymentsmortgagesappreciation/**depreciationbudgetingbank** statementsutility billsmobile phone and...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple terms ('depreciation', 'budgeting', 'bank') have been incorrectly merged into a single word during PDF conversion."
16,12,statementsutility,...sappreciation/depreciationbudgetingbank **statementsutility** billsmobile phone and other billsVATbes...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'statements' and 'utility' have been incorrectly merged during PDF conversion and should be separated by a comma.
17,12,billsmobile,...eciationbudgetingbank statementsutility **billsmobile** phone and other billsVATbest buysprice ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'bills' and 'mobile' have been incorrectly merged during PDF conversion and should be separated by a comma.
18,12,billsVATbest,"...entsutility billsmobile phone and other **billsVATbest** buysprice comparisonfinance schemes, in...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"Multiple terms ('bills', 'VAT', 'best') have been incorrectly merged into a single word during PDF conversion."
19,12,buysprice,"...illsmobile phone and other billsVATbest **buysprice** comparisonfinance schemes, including bu...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The terms 'buys' and 'price' have been incorrectly merged during PDF conversion and should be separated by a comma.
20,12,comparisonfinance,"... phone and other billsVATbest buysprice **comparisonfinance** schemes, including buying by instalment...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'comparison' and 'finance' are merged due to a PDF-to-text conversion error and should be separated.
21,12,instalmentsdiscount,"...sonfinance schemes, including buying by **instalmentsdiscount**/price increasebuying and sellingprofit ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'instalments' and 'discount' are merged due to a PDF-to-text conversion error and should be separated.
22,12,increasebuying,...ing buying by instalmentsdiscount/price **increasebuying** and sellingprofit and losstravel includ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'increase' and 'buying' are merged due to a PDF-to-text conversion error and should be separated.
23,12,sellingprofit,...lmentsdiscount/price increasebuying and **sellingprofit** and losstravel including foreign curren...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'selling' and 'profit' are merged due to a PDF-to-text conversion error and should be separated.
24,12,losstravel,"...ce increasebuying and sellingprofit and **losstravel** including foreign currencies, exchange ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The words 'loss' and 'travel' are merged due to a PDF-to-text conversion error and should be separated.
25,22,terms,"...<br>recognise the definitions of<br>the **terms** equation,<br>expression and formula and...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used here to introduce a list of definitions: 'the terms equation, expression and formula'."
26,22,terms,"...<br>recognise the definitions of<br>the **terms** equation,<br>expression and formula and...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used here to introduce a list of definitions: 'the terms equation, expression and formula'."
27,22,terms,"...<br>recognise the definitions of<br>the **terms** equation,<br>expression and formula and...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"The word 'terms' is correctly used here to introduce a list of definitions: 'the terms equation, expression and formula'."
28,24,$x,"...solve quadratic expressions of the form **$x**^2 + ax + b$ and $ax^2 + bx + c$ , inclu...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The highlighted '$x' is part of a mathematical expression and is correctly formatted as technical notation.
29,24,b$,"...tic expressions of the form $x^2 + ax + **b$** and $ax^2 + bx + c$ , including the dif...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The highlighted 'b$' is part of a mathematical expression and is correctly formatted as technical notation.
