issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,Approved,"This specification meets the requirements of the following regulatory documents published by Qualifications Wales:
- [Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The word 'approved' should be lowercase as it functions as an adjective describing 'qualification' within a descriptive clause, not as part of a proper noun or title."
1,3,subject specific,- Approval Criteria for GCSE [German](https://qualifications.wales/media/rahjynjm/gcse-german-approval-criteria.pdf) which sets out the **subject specific** requirements for GCSE German qualifications from September 2025 and beyond.,ErrorCategory.STYLISTIC_PREFERENCE,90,'Subject-specific' should be hyphenated when used as a compound adjective modifying 'requirements' in British English.
2,5,for arrangements,3.2 Assessment objectives and weightings 21 3.2 **Overview for arrangements** for non-examination assessment (NEA) 21,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'Overview for arrangements' is less common and slightly awkward; 'Overview of arrangements' would be more standard and clearer in formal British English.
3,8,vocabular,a core vocabulary list based on high frequency and high utility **vocabular[y](#page-7-3)**<sup>5</sup>,ErrorCategory.SPELLING_ERROR,98,The word 'vocabular' is incomplete; it should be 'vocabulary'.
4,8,reoccurring,"It will allow teachers to deliver the vocabulary through their own engaging and motivating topics, using language in a natural and **reoccurring** way.",ErrorCategory.SPELLING_ERROR,95,"The correct term is 'recurring', not 'reoccurring'."
5,8,language of work and study theme,"For example, teachers may wish to include the topics of identity and culture, family, friends and relationships, and free time for the language for leisure and wellbeing theme; travel, places in town, environment and sustainability for the language for travel theme; future plans, higher education and the world of work for the **language of work and study theme**.",ErrorCategory.CONSISTENCY_ERROR,90,"The preposition 'of' is inconsistent with the 'language for' phrasing used for the other themes ('language for leisure and wellbeing theme', 'language for travel theme')."
6,9,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The comparative construction requires 'as' before the adjective: 'as specific as possible'.
7,9,up to date,WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,85,"When used as a compound adjective before a noun (e.g., 'up-to-date version'), 'up-to-date' should be hyphenated in British English for clarity and formality."
8,11,Equal but no additional credit,**Equal but no additional credit** will be given for learners who use vocabulary outside the specified list in productive tasks.,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing is slightly awkward and could be clearer. Consider rephrasing for conciseness, e.g., 'No additional credit will be given for learners who use vocabulary outside the specified list in productive tasks, nor will they be penalised for doing so.'"
9,11,in order to,- use generally accurate pronunciation and intonation **in order to** communicate with a speaker of the language.,ErrorCategory.STYLISTIC_PREFERENCE,75,The phrase 'in order to' can often be replaced by 'to' for conciseness without changing the meaning.
10,16,"message, learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.","It is likely that some works will contain words that are outside of the vocabulary lists; in this case teachers will need to ensure that learners understand the general **message, learners are not expected to understand every word, the purpose is to be able to write about the work they have studied.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This sentence contains a comma splice, joining three independent clauses with only commas. It should be separated by semicolons, full stops, or conjunctions."
11,16,by,Learners will be required to:<br>• study a work in German<br>• demonstrate their understanding of the work **by**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The bullet point ends abruptly with 'by', indicating an incomplete phrase or sentence fragment."
12,20,"Appendix A,","Written language should be from the specified content (the grammar and sound-spelling correspondence in **Appendix A,** and the vocabulary in **Appendix B**).",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is not typically used before 'and' when joining two items in a list in British English.
13,20,audience,"• understand and respond to different types of language written for different purposes and **audience**<br>• identify the overall message, key points and opinions in spoken and written passages, some involving more complex language, and draw conclusions where appropriate",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"For parallel structure and logical consistency with 'purposes' (plural), 'audience' should also be plural ('audiences')."
14,20,to,"• translate short and simple texts from German **to** Cymraeg/English<br>• communicate clearly and effectively in writing for a variety of purposes, including communicating information, describing, narrating, expressing and justifying opinions",ErrorCategory.STYLISTIC_PREFERENCE,85,'Into' is generally preferred over 'to' when referring to translation or a change of language for greater precision.
15,22,for arrangements,"## 3.2 Overview **for arrangements** for non-examination assessment (NEA)

Non-examination assessment accounts for 45% of this GCSE.",ErrorCategory.STYLISTIC_PREFERENCE,90,The more idiomatic and common phrasing in British English is 'Overview of arrangements'.
16,23,audio recorded,"The assessment will be carried out by teachers at the centre, **audio recorded** and marked by external examiners.

The assessment will consist of three tasks: a read aloud and role play, a presentation and discussion, and a conversation.",ErrorCategory.STYLISTIC_PREFERENCE,85,"When used as a compound adjective modifying 'assessment' implicitly, 'audio-recorded' should be hyphenated for clarity."
17,23,role play,"The assessment will consist of three tasks: a read aloud and **role play**, a presentation and discussion, and a conversation.

There will be a teacher booklet that will provide instructions and guidance as to how to conduct the assessment, and WJEC will provide detail as to the read aloud and role-play card to be allocated to each learner in the Assessment Pack.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'role-play card' used later in the document, 'role-play' should be hyphenated."
18,23,as to how,"There will be a teacher booklet that will provide instructions and guidance **as to how** to conduct the assessment, and WJEC will provide detail as to the read aloud and role-play card to be allocated to each learner in the Assessment Pack.",ErrorCategory.STYLISTIC_PREFERENCE,80,'As to how' is wordy; 'on how' or 'about how' would be more concise and professional.
19,23,detail as to,"...guidance as to how to conduct the assessment, and WJEC will provide **detail as to** the read aloud and role-play card to be allocated to each learner in the Assessment Pack.

Centres are required to ensure that each candidate uses the correct allocated card.",ErrorCategory.STYLISTIC_PREFERENCE,80,'Detail as to' is wordy; 'details of' or 'detail on' would be more concise and idiomatic.
20,23,role play card allocation table,"The Assessment Pack will be updated and released annually and will include an updated **role play card allocation table** along with the specific period in which the speaking assessments, and Unit 2 must take place.",ErrorCategory.CONSISTENCY_ERROR,90,"For consistency with 'role-play card' used elsewhere in the document, 'role-play' should be hyphenated."
21,23,", and Unit 2","...along with the specific period in which the speaking assessments**, and Unit 2** must take place.",ErrorCategory.STYLISTIC_PREFERENCE,85,The comma before 'and' is unnecessary in a simple list of two items ('speaking assessments and Unit 2').
22,26,Lieblings- to mean favourite and Haupt- to mean main,prefixes such as **Lieblings-<br>to mean favourite and Haupt-<br>to<br>mean main**,ErrorCategory.STYLISTIC_PREFERENCE,80,"The phrasing 'to mean favourite and Haupt- to mean main' is awkward and could be rephrased for better clarity and formality, e.g., 'prefixes such as Lieblings- (meaning favourite) and Haupt- (meaning main)'."
23,26,plural and accusative singular weak nouns,"nominative, **plural and accusative singular weak nouns**",ErrorCategory.AMBIGUOUS_PHRASING,90,"The phrasing 'plural and accusative singular weak nouns' is ambiguous; 'plural' refers to number, not a case, and its placement suggests it is a case alongside nominative and accusative."
24,26,trozt,"genitive: (an)statt, auβerhalb, innerhalb, **trozt**, während,<br>wegen (instead of, on the outside, within, despite, during,<br>because of)",ErrorCategory.SPELLING_ERROR,100,"The correct German spelling for 'despite' is 'trotz', not 'trozt'."
25,26,singular.,"reflexive: mich, dich, sich (3rd person **singular.<br>and plural)**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The full stop after 'singular' is grammatically incorrect in the context '3rd person singular and plural'; it should be 'singular and plural'.
26,26,"impersonal)future tenseconditionalperfect tenseimperfect/ simple past: haben, sein and modalsmodals: Use of present modals in all persons + infinitive.","present tense – regular and irregular verbs (including<br>**impersonal)future tenseconditionalperfect tenseimperfect/ simple past: haben, sein and modalsmodals: Use of present modals in all persons<br>+ infinitive.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a run-on sentence or merged list of distinct grammatical items, lacking proper punctuation and separation; it should be presented as a clear list."
27,26,imperfect/simple past,"impersonal verbs: es gibt (there is) tenses: present tense – regular and irregular verbs (including<br>impersonal)future tenseconditionalperfect tenseimperfect/ simple past: haben, sein and modalsmodals: Use of present modals in all persons<br>+ infinitive. **imperfect/simple past**",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'imperfect/simple past' is listed separately here, creating an inconsistency with its earlier inclusion (merged) in the 'tenses' section."
28,26,irregular of verbs,"imperfect/simple past: **irregular of verbs**: begann (began), ging (went), trank (drank)",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The correct phrasing should be 'irregular verbs' or 'irregular forms of verbs'; 'irregular of verbs' is grammatically incorrect.
29,26,um....zu,**um....zu** (in order to...),ErrorCategory.SPELLING_ERROR,95,"An ellipsis should consist of three dots (...), not four (....)."
30,26,ich wäre (I would),"subjunctive of verbs with ""wenn"": ich könnte (I could), ich würde (I would), ich hätte (I would have), **ich wäre (I would)**",ErrorCategory.FACTUAL_INACCURACY,95,"The German 'ich wäre' translates to 'I would be', not simply 'I would', making the provided translation incomplete or inaccurate in a grammatical specification."
31,29,soundspelling,Learners will be expected to know the German alphabet and will need to know the **soundspelling** correspondences listed below.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'sound-spelling' is hyphenated in the heading on this page, so it should be consistent throughout the document."
32,30,[ie] [ih],"long [i], including **[ie] [ih]** and short [i] | Familie, sieben, ihnen, finden",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Items in a list (e.g., '[ie]', '[ih]') should be separated by a comma for clarity."
33,30,short[ö],"long [ö], including [öh] and **short[ö]** | schön, Höhe, plötzlich",ErrorCategory.SPELLING_ERROR,95,"A space is missing between 'short' and '[ö]', forming an invalid word."
34,30,[st-] [scht],"| **[st-] [scht]** vs<br>[st] | stark, Liste",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Items in a list within the table header (e.g., '[st-]', '[scht]') should be separated by a comma."
35,30,[ß] [ss],"| **[ß] [ss]** [-s] | groß, lassen, rechts",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Items in a list within the table header (e.g., '[ß]', '[ss]') should be separated by a comma."
36,31,will be accepting of,WJEC will not make changes to this specification but **will be accepting of** any changes brought about in the future.,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing 'will be accepting of' is less concise and formal than 'will accept' or 'will accommodate'.
37,31,first-person,As a starting point gender identification should not be an issue as candidates should be using **first-person** pronouns or using masculine/feminine nouns.,ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective modifying 'pronouns', 'first-person' should be hyphenated for clarity in British English. (OED)"
38,31,masculine/feminine,As a starting point gender identification should not be an issue as candidates should be using first-person pronouns or using **masculine/feminine** nouns.,ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective modifying 'nouns', 'masculine/feminine' should be hyphenated for clarity in British English."
39,31,third-person,"If learners choose to speak in the **third-person**, they must be consistent in their pronoun choices, for example, use of 'they/them/xe/xhe' should not be seen as grammatically incorrect if the learner is consistently using the chosen pronoun throughout their speaking.",ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective, 'third-person' should be hyphenated for clarity in British English. (OED)"
40,31,third person,"When discussing another individual in the **third person** where gender or gender preference is unknown or undisclosed, WJEC expects consistent application of the gender agreement of the learner's choice.",ErrorCategory.STYLISTIC_PREFERENCE,90,"As a compound adjective, 'third-person' should be hyphenated for clarity in British English. (OED)"
41,31,gender agreement of the learner's choice,"When discussing another individual in the third person where gender or gender preference is unknown or undisclosed, WJEC expects consistent application of the **gender agreement of the learner's choice**.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'gender agreement of the learner's choice' is slightly awkward; 'gender agreement according to the learner's choice' or 'gender agreement chosen by the learner' would be clearer.
42,32,below some of which,Learners will be expected to use and understand the everyday language listed **below some of which** may have been covered in previous learning.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice; two independent clauses are joined without proper punctuation or a conjunction. It should be 'below, some of which' or 'below; some of which'."
43,32,Lastkraftwagen der,| LKW (**Lastkraftwagen der**) | lorry |,ErrorCategory.FACTUAL_INACCURACY,95,The definite article 'der' is incorrectly included as part of the German noun 'Lastkraftwagen' in this vocabulary list. The noun itself is 'Lastkraftwagen'. (Duden)
44,32,seasons and the months,"Learners are expected to know the days of the week, **seasons and the months** of the year.",ErrorCategory.STYLISTIC_PREFERENCE,80,"For parallel structure and consistency with 'the days of the week', it should be 'the seasons and the months of the year' or simply 'seasons and months of the year'."
45,35,Farbe die,"| bunt      | colourful          |
| **Farbe die** | colour             |
| gelb      | yellow             |",ErrorCategory.FACTUAL_INACCURACY,100,"The German term for 'colour' is 'Farbe', not 'Farbe die'. 'Die Farbe' means 'the colour'."
46,36,weiβ,"| silbern | silver       |
| türkis  | turquoise    |
| **weiβ**    | white        |",ErrorCategory.SPELLING_ERROR,100,The German letter 'ß' (Eszett) is incorrectly rendered as 'β' (Greek beta). The correct spelling is 'weiß'.
47,36,Eid,"| Frohe Weihnachten!        | Merry Christmas!        |
| Frohes Eid!               | Happy **Eid**!          |
| Frohes Neues Jahr!        | Happy New Year!         |",ErrorCategory.STYLISTIC_PREFERENCE,95,'Eid' is a proper noun referring to a religious festival and should be capitalised in the English equivalent 'Happy Eid!'.
48,37,Kilometer der,| **Kilometer der** | kilometre |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The German phrase 'Kilometer der' is incorrect; 'Kilometer' alone means 'kilometre'.
49,38,heiβ,| es ist **heiβ** | it is hot |,ErrorCategory.SPELLING_ERROR,95,The German letter 'ß' (Eszett) is incorrectly rendered as 'β' (beta).
50,39,Wieviel,| **Wieviel** Uhr ist es? | What time is it? |,ErrorCategory.SPELLING_ERROR,90,"According to Duden, 'Wieviel' should be written as two words: 'Wie viel'."
51,39,afrikanish,| Afrika | **afrikanish** | Africa<br>/<br>African |,ErrorCategory.SPELLING_ERROR,95,The German nationality 'afrikanish' is misspelled; it should be 'afrikanisch'.
52,39,südamarekanisch,| Südamerika | **südamarekanisch** | South America<br>/<br>South<br>American |,ErrorCategory.SPELLING_ERROR,95,The German nationality 'südamarekanisch' is misspelled; it should be 'südamerikanisch'.
53,39,nederlandisch,| die Niederlande | **nederlandisch** | The Netherlands / Dutch |,ErrorCategory.SPELLING_ERROR,95,The German nationality 'nederlandisch' is misspelled; it should be 'niederländisch'.
54,39,polisch,| Polen | **polisch** | Poland / Polish |,ErrorCategory.SPELLING_ERROR,95,The German nationality 'polisch' is misspelled; it should be 'polnisch'.
55,39,portugesisch,| Portugal | **portugesisch** | Portugal / Portuguese |,ErrorCategory.SPELLING_ERROR,95,The German nationality 'portugesisch' is misspelled; it should be 'portugiesisch'.
56,39,schottische,| Schottland | **schottische** | Scotland / Scottish |,ErrorCategory.CONSISTENCY_ERROR,90,The German nationality 'schottische' is an inflected form; the base adjective 'schottisch' is expected for consistency with other entries in this list.
57,42,t-shirt,"| die Stiefel                  | boots                    |
| das **t-shirt**                  | t-shirt                  |
| die Uniform                  | uniform                  |",ErrorCategory.STYLISTIC_PREFERENCE,85,"In British English, 'T-shirt' is typically capitalised and hyphenated as a compound noun."
58,42,coca cola,"| die Chips                    | crisps                   |
| die Cola                     | **coca cola**                |
| die Currywurst               | sausage in curried sauce |",ErrorCategory.STYLISTIC_PREFERENCE,85,"For consistency and standard usage, 'Coca-Cola' (brand name) or 'cola' (generic term) would be more appropriate than 'coca cola' as two unhyphenated words."
59,45,Film,"Fahrrad (Rad) fahren                       | to cycle                  |
der Film                                   | **Film**                      |
das Fernsehkanal / der (Fernseh-) Programm | TV Channel / show         |",ErrorCategory.STYLISTIC_PREFERENCE,85,"Common nouns in English, such as 'film', are typically not capitalised unless they are part of a proper noun or at the start of a sentence."
60,45,das Fernsehkanal / der (Fernseh-) Programm,"der Film                                   | Film                      |
das Fernsehkanal / **der (Fernseh-) Programm** | TV Channel / show         |
fernsehen                                | to watch tv               |",ErrorCategory.FACTUAL_INACCURACY,98,"In German, 'Fernsehkanal' is masculine (der Fernsehkanal) and 'Programm' is neuter (das Programm). The genders provided in the German column are incorrect for both nouns. (Duden)"
61,48,Verkehrsmittel,| mit den öffentlichen **Verkehrsmittel** | by public transport        |,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The German noun 'Verkehrsmittel' should be in the dative plural form 'Verkehrsmitteln' when used with the dative preposition 'mit'.
62,49,the German word,"The core vocabulary list is set out by part of speech (adjectives, adverbs, nouns, prepositions, phrases, verbs) **the German word** and its English equivalent.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The sentence requires a conjunction or preposition (e.g., 'with' or 'showing') to connect 'part of speech' to 'the German word and its English equivalent'."
63,49,German | English,"| faul | lazy |
| **German | English** |
| fertig | ready, finished |",ErrorCategory.CONSISTENCY_ERROR,90,The header row 'German | English' is inconsistent with the established table header 'German | English equivalent' used elsewhere in the same list of adjectives.
64,49,information,"lehrreich | educational, **information**, instructive",ErrorCategory.SPELLING_ERROR,95,"In a list of adjectives, 'information' (a noun) should be 'informative' (an adjective) to match the other items and the German word 'lehrreich'."
65,49,electronisch,"**electronisch** | electronic, electronically",ErrorCategory.SPELLING_ERROR,100,"The correct German spelling for 'electronic' is 'elektronisch' with a 'k', not 'electronisch' with a 'c' (Duden)."
66,49,publically,"öffentlich | public, **publically**",ErrorCategory.SPELLING_ERROR,100,"The correct British English spelling is 'publicly', not 'publically' (OED/Collins Dictionary)."
67,49,for a week-long,"wochenlang | for weeks, **for a week-long**",ErrorCategory.STYLISTIC_PREFERENCE,85,"'For a week-long' is an awkward and ungrammatical phrasing for an adverbial or adjectival equivalent; 'week-long' (adjective) or 'for weeks' (adverbial phrase) would be more appropriate, especially under the 'Adjectives' heading."
68,57,Badezimmer das,| n (nt)           | **Badezimmer das**                            | bathroom                                       |,ErrorCategory.CONSISTENCY_ERROR,90,"The definite article 'das' is inconsistently included with the German noun 'Badezimmer', unlike other neuter nouns in the list."
69,57,Federal State,| n (nt)           | Bundesland                            | **Federal State**                                  |,ErrorCategory.CONSISTENCY_ERROR,90,"As a specific political entity, 'Federal State' should be capitalised for consistency with proper nouns."
70,57,of lots,"| n (f)            | eine Menge                            | a lot, **of lots**                                 |",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase 'of lots' is awkward and not standard British English; 'a lot' or 'lots (of)' would be more appropriate.
