issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,13,addressDestination,... to a maximum of three marks:<br>Source **addressDestination** addressInformation which enables the da...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'address' and 'Destination' are merged due to a PDF conversion error.
1,13,addressInformation,...ree marks:<br>Source addressDestination **addressInformation** which enables the data to<br>be reassem...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'address' and 'Information' are merged due to a PDF conversion error.
2,13,formOther,... to<br>be reassembled into its original **formOther** tracking informationThe data itselfA ch...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'form' and 'Other' are merged due to a PDF conversion error.
3,13,informationThe,...ed into its original formOther tracking **informationThe** data itselfA checksum that authenticate...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'information' and 'The' are merged due to a PDF conversion error.
4,13,itselfA,... formOther tracking informationThe data **itselfA** checksum that authenticates the<br>data...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'itself' and 'A' are merged due to a PDF conversion error.
5,14,contentshown,...ant detailed points from the indicative **contentshown** a sustained line of reasoning which is ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'content' and 'shown' are merged due to a PDF conversion error.
6,14,structuredused,"..., relevant, substantiated and logically **structuredused** appropriate computer science terminolog...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'structured' and 'used' are merged due to a PDF conversion error.
7,14,contentshown,...ant detailed points from the indicative **contentshown** a line of reasoning which is partially ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'content' and 'shown' are merged due to a PDF conversion error.
8,14,structureused,...upported by some evidence and with some **structureused** mainly appropriate computer science ter...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'structure' and 'used' are merged due to a PDF conversion error.
9,14,contentshown,...two relevant points from the indicative **contentshown** a basic line of reasoning which is not ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'content' and 'shown' are merged due to a PDF conversion error.
10,14,structureused,"...nt, largely irrelevant with very little **structureused** limited computer science terminology.  ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The words 'structure' and 'used' have been merged, indicating a parsing error from the PDF conversion; a space is required between them."
