issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,all of the,...g:<br>•<br>The PSU<br>provides power to **all of the**<br>components.                         ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'all of the' is grammatically correct and widely accepted in British English.
1,14,systems,...t ensures efficient and<br>high-quality **systems** delivery.                              ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,'Systems delivery' is a correct and common compound noun phrase in the context of project management and IT.
2,14,Implementatio,...                          |           | **Implementatio** |     |               |  |  |  | |     ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'Implementatio' is a truncation of 'Implementation' and is a clear parsing error from the PDF extraction.
3,19,licenses,...Property<br>•<br>Respect copyrights and **licenses**.                                       ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The noun form in British English is 'licences', not 'licenses'."
4,20,licenses,"...tual Property  • Respect copyrights and **licenses**, attribute sources correctly, and ensur...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,95,"The noun form in British English is 'licences', not 'licenses'."
5,24,so,... handling input and<br>output operations** so** tasks do not interfere with<br>each oth...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"The conjunction 'so' is used correctly to indicate purpose or result, and the omission of a comma does not create ambiguity."
6,27,a,...` 1 Start addProc 2 number is integer 3 **a** is integer 4 total is iteger 5 6 for i ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"In pseudocode, 'a is integer' is a standard and correct way to declare a variable named 'a' as an integer."
7,27,iteger,"...er is integer 3 a is integer 4 total is **iteger** 5 6 for i = 1 to 10 7 output ""Please en...",PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'Iteger' is a misspelling of the word 'integer'.
8,27,"""","...ber 10 next i 11 12 total = a 13 output **""**The total = "", total 14 15 End addProc `...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' is an HTML entity for a double quote, indicating a parsing error during text extraction."
9,27,"""","... 11 12 total = a 13 output ""The total = **""**, total 14 15 End addProc ```  (a) Use t...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,"The '&quot;' is an HTML entity for a double quote, indicating a parsing error during text extraction."
10,27,iteger,...wing:<br>2<br>2<br>•<br>Error: total is **iteger**<br>•<br>total is integer<br>Change: |  ...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,"""iteger"" is a misspelling of the word ""integer"" as confirmed by the provided correction in the context."
11,28,Ranso,...      | Trojan<br>horses | m<br>ware<br>**Ranso** | ms<br>Wor | ware<br>Spy |     |     |...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""Ranso"" is an OCR artifact, a fragment of the word ""Ransomware"" split across table cells and lines."
12,28,Wor,...<br>horses | m<br>ware<br>Ranso | ms<br>**Wor** | ware<br>Spy |     |     |     |      ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""Wor"" is an OCR artifact, a fragment of the word ""Ransomware"" split across table cells and lines."
13,30,quo,"...ic description of Quid<br>2<br>2<br>pro **quo**, up to a maximum of two<br>marks.<br>A ...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""quo"" is correctly used as part of the established Latin phrase ""Quid pro quo""."
14,31,multi-factor,...             |    | |     | •<br>Enable **multi-factor** authentication (MFA)                 | ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"""multi-factor"" is correctly hyphenated as a compound adjective in the technical term ""multi-factor authentication""."
15,32,al,...     | O1        | 2<br>O    | 3<br>O | **al**<br>ks<br>ot |   |              | |   | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""al"" is an OCR artifact, a fragment of a word split across lines within a table cell."
16,32,ks,... O1        | 2<br>O    | 3<br>O | al<br>**ks**<br>ot |   |              | |   |       ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""ks"" is an OCR artifact, a fragment of a word split across lines within a table cell."
17,32,ot,...     | 2<br>O    | 3<br>O | al<br>ks<br>**ot** |   |              | |   |          |  ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"""ot"" is an OCR artifact, a fragment of a word split across lines within a table cell."
18,31,al,...| 1.5 |  | 2 | 2 | 2 | O1 | 2 O | 3 O | **al** ks ot |  |  | |  |  |  | 1.1.1 | 2 1.1....,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'al' is part of a garbled phrase 'al ks ot' in a table header, indicating a parsing error."
19,31,ks,....5 |  | 2 | 2 | 2 | O1 | 2 O | 3 O | al **ks** ot |  |  | |  |  |  | 1.1.1 | 2 1.1. | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"'ks' is part of a garbled phrase 'al ks ot' in a table header, indicating a parsing error."
20,31,ot,...|  | 2 | 2 | 2 | O1 | 2 O | 3 O | al ks **ot** |  |  | |  |  |  | 1.1.1 | 2 1.1. | 3 1...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The phrase 'al ks ot' is a parsing error, likely intended to be 'Total Marks' or 'Overall Total' within the table header, given the context of assessment objectives and marks."
